configuration,pop_mut,scenario,mutation_rate,population_size,replicate_seed,cell,fitness_value_cell,fitness_value_organism
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30001,A,42.945,85.86
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30001,B,42.915,85.86
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30002,A,46.92,93.815
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30002,B,46.895,93.815
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30003,A,46.895,93.805
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30003,B,46.91,93.805
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30004,A,43.92,87.84
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30004,B,43.92,87.84
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30005,A,46.9,93.78
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30005,B,46.88,93.78
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30006,A,46.875,93.765
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30006,B,46.89,93.765
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30007,A,47.91,95.82
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30007,B,47.91,95.82
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30008,A,43.915,87.835
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30008,B,43.92,87.835
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30009,A,39.95,79.855
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30009,B,39.905,79.855
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30010,A,47.895,95.785
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30010,B,47.89,95.785
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30011,A,46.88,93.765
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30011,B,46.885,93.765
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30012,A,45.94,91.825
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30012,B,45.885,91.825
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30013,A,44.93,89.84
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30013,B,44.91,89.84
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30014,A,45.92,91.83
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30014,B,45.91,91.83
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30015,A,46.895,93.815
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30015,B,46.92,93.815
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30016,A,43.925,87.82
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30016,B,43.895,87.82
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30017,A,43.92,87.825
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30017,B,43.905,87.825
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30018,A,46.915,93.835
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30018,B,46.92,93.835
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30019,A,45.935,91.835
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30019,B,45.9,91.835
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30020,A,47.92,95.825
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30020,B,47.905,95.825
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30021,A,48.9,97.74
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30021,B,48.84,97.74
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30022,A,46.9,93.78
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30022,B,46.88,93.78
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30023,A,47.915,95.81
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30023,B,47.895,95.81
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30024,A,44.935,89.83
