configuration,pop_mut,scenario,mutation_rate,population_size,replicate_seed,cell,value_leading_ben_del_neu,value_leading_ben_del_neu_no,value_overall_ben_del_neu,value_overall_ben_del_neu_no
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30001,A,53,5000,1957,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30001,B,61,5000,4007,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30002,A,55,5000,2044,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30002,B,63,5000,3914,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30003,A,57,5000,1986,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30003,B,57,5000,3950,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30004,A,48,5000,2008,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30004,B,48,5000,4021,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30005,A,63,5000,1954,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30005,B,64,5000,4058,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30006,A,55,5000,1989,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30006,B,63,5000,3985,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30007,A,56,5000,2079,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30007,B,59,5000,4016,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30008,A,57,5000,1952,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30008,B,65,5000,4019,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30009,A,55,5000,1981,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30009,B,65,5000,4030,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30010,A,45,5000,1947,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30010,B,49,5000,3981,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30011,A,54,5000,1954,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30011,B,54,5000,4026,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30012,A,50,5000,1912,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30012,B,54,5000,3984,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30013,A,56,5000,1962,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30013,B,62,5000,3994,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30014,A,48,5000,2008,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30014,B,52,5000,3994,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30015,A,52,5000,2000,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30015,B,62,5000,3982,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30016,A,50,5000,1936,5000
