configuration,pop_mut,scenario,mutation_rate_a,mutation_rate_b,population_size,comparison,a_replicate,b_replicate,variance_leading,variance_overall
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10001,10001,0,0.05755102040816326
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10002,10002,0,0.03918367346938775
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10003,10003,0,0.03918367346938775
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10004,10004,0,0.019999999999999997
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10005,10005,0,0.04081632653061224
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10006,10006,0,0.03918367346938775
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10007,10007,0,0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10008,10008,0,0.07999999999999999
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10009,10009,0,0.019999999999999997
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10010,10010,0,0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10011,10011,0,0.03918367346938775
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10012,10012,0,0.03918367346938775
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10013,10013,0,0.019999999999999997
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10014,10014,0,0.019999999999999997
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10015,10015,0,0.019999999999999997
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10016,10016,0,0.019999999999999997
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10017,10017,0,0.019999999999999997
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10018,10018,0,0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10019,10019,0,0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10020,10020,0,0.019999999999999997
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10021,10021,0,0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10022,10022,0,0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10023,10023,0,0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10024,10024,0,0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10025,10025,0,0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10026,10026,0,0.019999999999999997
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10027,10027,0,0.019999999999999997
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10028,10028,0,0.04081632653061224
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10029,10029,0,0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10030,10030,0,0.019999999999999997
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10031,10031,0,0.06081632653061224
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10032,10032,0,0.019999999999999997
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10033,10033,0,0.019999999999999997
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10034,10034,0,0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10035,10035,0,0.019999999999999997
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10036,10036,0,0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10037,10037,0,0.019999999999999997
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10038,10038,0,0.019999999999999997
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10039,10039,0,0.019999999999999997
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10040,10040,0,0.019999999999999997
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10041,10041,0,0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10042,10042,0,0.019999999999999997
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10043,10043,0,0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10044,10044,0,0.019999999999999997
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10045,10045,0,0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10046,10046,0,0.07999999999999999
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10047,10047,0,0.019999999999999997
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10048,10048,0,0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10049,10049,0,0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,0.001,1000,intra-run,10050,10050,0,0.019999999999999997
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10138,10092,0.28408163265306124,0.343265306122449
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10085,10071,0.14244897959183672,0.14244897959183672
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10059,10146,0.14244897959183672,0.14244897959183672
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10130,10094,0.13918367346938776,0.20244897959183675
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10067,10136,0.18,0.18
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10115,10053,0.18326530612244898,0.18326530612244898
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10116,10069,0.40816326530612246,0.7281632653061224
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10144,10065,0.13918367346938776,0.13918367346938776
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10114,10123,0.18,0.18
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10148,10133,0.24489795918367346,0.24489795918367346
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10135,10054,0.25510204081632654,0.44244897959183677
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10076,10106,0.20244897959183675,0.2616326530612245
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10052,10137,0.23020408163265307,0.23020408163265307
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10100,10083,0.12081632653061225,0.12081632653061225
