configuration,pop_mut,scenario,mutation_rate_a,mutation_rate_b,population_size,comparison,a_replicate,b_replicate,variance_leading,variance_overall
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10092,10138,0.28408163265306124,0.343265306122449
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10071,10085,0.14244897959183672,0.14244897959183672
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10146,10059,0.14244897959183672,0.14244897959183672
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10094,10130,0.13918367346938776,0.20244897959183675
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10136,10067,0.18,0.18
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10053,10115,0.18326530612244898,0.18326530612244898
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10069,10116,0.40816326530612246,0.7281632653061224
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10065,10144,0.13918367346938776,0.13918367346938776
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10123,10114,0.18,0.18
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10133,10148,0.24489795918367346,0.24489795918367346
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10054,10135,0.25510204081632654,0.44244897959183677
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10106,10076,0.20244897959183675,0.2616326530612245
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10137,10052,0.23020408163265307,0.23020408163265307
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10083,10100,0.12081632653061225,0.12081632653061225
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10063,10088,0.2616326530612245,0.2616326530612245
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10103,10077,0.16163265306122448,0.16163265306122448
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10129,10143,0.19755102040816327,0.25510204081632654
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10070,10061,0.20244897959183675,0.20244897959183675
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10109,10080,0.20244897959183675,0.20244897959183675
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10062,10074,0.17346938775510207,0.17346938775510207
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10142,10145,0.18326530612244898,0.18326530612244898
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10090,10072,0.34653061224489795,0.34653061224489795
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10117,10058,0.22081632653061223,0.343265306122449
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10105,10132,0.23020408163265307,0.23020408163265307
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10079,10134,0.4085714285714286,0.8163265306122449
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10066,10110,0.14244897959183672,0.16163265306122448
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10150,10140,0.24326530612244898,0.2616326530612245
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10097,10051,0.15673469387755104,0.27918367346938777
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10111,10104,0.25510204081632654,0.3775510204081633
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10056,10098,0.14244897959183672,0.20244897959183675
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10081,10119,0.24326530612244898,0.24326530612244898
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10068,10078,0.13918367346938776,0.15673469387755104
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10060,10084,0.16163265306122448,0.16163265306122448
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10064,10087,0.16163265306122448,0.32
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10082,10055,0.16163265306122448,0.16163265306122448
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10124,10147,0.14244897959183672,0.20244897959183675
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10093,10091,0.20408163265306123,0.3873469387755102
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10141,10126,0.2648979591836735,0.2648979591836735
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10108,10120,0.11591836734693878,0.11591836734693878
