configuration,pop_mut,scenario,mutation_rate,population_size,replicate_seed,cell,value_leading_ben_del_neu,value_leading_ben_del_neu_no,value_overall_ben_del_neu,value_overall_ben_del_neu_no
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10001,A,8,5000,8,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10001,B,8,5000,11,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10002,A,7,5000,7,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10002,B,7,5000,9,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10003,A,6,5000,6,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10003,B,6,5000,8,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10004,A,3,5000,3,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10004,B,3,5000,4,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10005,A,7,5000,8,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10005,B,7,5000,8,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10006,A,2,5000,4,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10006,B,2,5000,2,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10007,A,10,5000,10,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10007,B,10,5000,10,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10008,A,6,5000,6,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10008,B,6,5000,8,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10009,A,6,5000,7,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10009,B,6,5000,6,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10010,A,8,5000,8,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10010,B,8,5000,8,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10011,A,7,5000,7,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10011,B,7,5000,9,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10012,A,8,5000,8,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10012,B,8,5000,10,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10013,A,3,5000,3,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10013,B,3,5000,4,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10014,A,5,5000,6,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10014,B,5,5000,5,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10015,A,5,5000,5,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10015,B,5,5000,6,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10016,A,5,5000,5,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10016,B,5,5000,6,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10017,A,3,5000,4,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10017,B,3,5000,3,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10018,A,6,5000,6,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10018,B,6,5000,6,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10019,A,5,5000,5,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10019,B,5,5000,5,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10020,A,9,5000,9,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10020,B,9,5000,10,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10021,A,2,5000,2,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10021,B,2,5000,2,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10022,A,1,5000,1,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10022,B,1,5000,1,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10023,A,3,5000,4,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10023,B,3,5000,4,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10024,A,7,5000,7,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10024,B,7,5000,7,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10025,A,3,5000,3,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10025,B,3,5000,3,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10026,A,5,5000,5,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10026,B,5,5000,6,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10027,A,7,5000,8,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10027,B,7,5000,9,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10028,A,5,5000,6,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10028,B,5,5000,6,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10029,A,8,5000,8,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10029,B,8,5000,8,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10030,A,4,5000,5,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10030,B,4,5000,4,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10031,A,9,5000,11,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10031,B,9,5000,10,5000
