configuration,pop_mut,scenario,mutation_rate,population_size,replicate_seed,cell,type,value_leading,value_overall,fraction_leading_ben_del_neu,fraction_overall_ben_del_neu,fraction_leading_ben_del_neu_no,fraction_overall_ben_del_neu_no
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10001,A,beneficial,8,8,1.0,1.0,0.0016,0.0016
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10001,A,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10001,A,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10001,A,no_mutation,4992,4992,0,1.0,0,0.9984
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10001,B,beneficial,8,11,1.0,1.0,0.0016,0.0022
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10001,B,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10001,B,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10001,B,no_mutation,4992,4989,0,1.0,0,0.9978
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10002,A,beneficial,7,7,1.0,1.0,0.0014,0.0014
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10002,A,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10002,A,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10002,A,no_mutation,4993,4993,0,1.0,0,0.9986
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10002,B,beneficial,7,9,1.0,1.0,0.0014,0.0018
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10002,B,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10002,B,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10002,B,no_mutation,4993,4991,0,1.0,0,0.9982
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10003,A,beneficial,6,6,1.0,1.0,0.0012,0.0012
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10003,A,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10003,A,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10003,A,no_mutation,4994,4994,0,1.0,0,0.9988
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10003,B,beneficial,6,8,1.0,1.0,0.0012,0.0016
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10003,B,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10003,B,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10003,B,no_mutation,4994,4992,0,1.0,0,0.9984
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10004,A,beneficial,3,3,1.0,1.0,0.0006,0.0006
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10004,A,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10004,A,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10004,A,no_mutation,4997,4997,0,1.0,0,0.9994
