configuration,pop_mut,scenario,mutation_rate_a,mutation_rate_b,population_size,comparison,a_replicate,b_replicate,variance_leading,variance_overall
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30001,30001,0.11591836734693878,8.066938775510204
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30002,30002,0.07510204081632653,13.90857142857143
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30003,30003,0.08163265306122448,25.35061224489796
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30004,30004,0,19.836734693877553
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30005,30005,0.019999999999999997,21.92
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30006,30006,0.156734693877551,30.459183673469386
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30007,30007,0.18326530612244898,15.195510204081632
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30008,30008,0.11591836734693878,19.346938775510203
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30009,30009,0.09183673469387756,25.103673469387754
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30010,30010,0.03918367346938775,21.601632653061223
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30011,30011,0,25.805714285714284
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30012,30012,0.03918367346938775,19.933061224489794
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30013,30013,0.05755102040816326,18.441224489795918
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30014,30014,0.03918367346938775,18.571428571428573
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30015,30015,0.09183673469387756,20.612244897959183
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30016,30016,0.05755102040816326,28.795510204081634
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30017,30017,0.14857142857142858,18.5
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30018,30018,0.07999999999999999,17.973877551020408
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30019,30019,0.05755102040816326,24.673061224489796
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30020,30020,0.03918367346938775,26.71061224489796
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30021,30021,0.03918367346938775,18.05061224489796
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30022,30022,0.09183673469387756,20.822857142857142
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30023,30023,0.06081632653061224,20.38734693877551
