configuration,pop_mut,scenario,mutation_rate_a,mutation_rate_b,population_size,comparison,a_replicate,b_replicate,variance_leading,variance_overall
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30145,30101,0.5881632653061225,22.07183673469388
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30052,30129,1.316326530612245,22.335102040816327
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30115,30146,0.9616326530612246,20.171836734693876
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30057,30096,0.9567346938775511,23.48734693877551
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30092,30124,2.1485714285714286,31.862857142857145
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30128,30148,1.1004081632653062,19.397551020408162
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30118,30108,0.98,35.3469387755102
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30084,30078,1.0204081632653061,16.988163265306124
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30068,30147,1.0371428571428571,21.72408163265306
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30122,30088,1.6020408163265305,15.755102040816327
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30102,30054,1.326122448979592,23.518775510204083
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30125,30117,1.2506122448979593,23.046530612244897
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30091,30142,0.8310204081632653,22.058775510204082
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30093,30135,1.4220408163265306,22.999591836734695
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30069,30106,1.316326530612245,26.87183673469388
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30144,30063,1.946530612244898,23.840408163265305
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30105,30131,0.8853061224489795,25.96938775510204
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30150,30100,0.98,27.21673469387755
