configuration,pop_mut,scenario,mutation_rate,population_size,replicate_seed,cell,type,value_leading,value_overall,fraction_leading_ben_del_neu,fraction_overall_ben_del_neu,fraction_leading_ben_del_neu_no,fraction_overall_ben_del_neu_no
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30001,A,beneficial,49,899,0.9245283018867925,0.45937659683188553,0.0098,0.1798
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30001,A,deleterious,4,862,0.07547169811320754,0.44047010730710273,0.0008,0.1724
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30001,A,neutral,0,196,0.0,0.10015329586101175,0.0,0.0392
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30001,A,no_mutation,4947,3043,0,0.45937659683188553,0,0.6086
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30001,B,beneficial,53,1655,0.8688524590163934,0.4130272023958073,0.0106,0.331
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30001,B,deleterious,8,1590,0.13114754098360656,0.39680559021712003,0.0016,0.318
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30001,B,neutral,0,762,0.0,0.19016720738707263,0.0,0.1524
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30001,B,no_mutation,4939,993,0,0.4130272023958073,0,0.1986
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30002,A,beneficial,53,952,0.9636363636363636,0.4657534246575342,0.0106,0.1904
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30002,A,deleterious,2,895,0.03636363636363636,0.437866927592955,0.0004,0.179
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30002,A,neutral,0,197,0.0,0.09637964774951076,0.0,0.0394
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30002,A,no_mutation,4945,2956,0,0.4657534246575342,0,0.5912
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30002,B,beneficial,57,1620,0.9047619047619048,0.41389882473173223,0.0114,0.324
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30002,B,deleterious,6,1557,0.09523809523809523,0.3978027593254982,0.0012,0.3114
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30002,B,neutral,0,737,0.0,0.18829841594276955,0.0,0.1474
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30002,B,no_mutation,4937,1086,0,0.41389882473173223,0,0.2172
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30003,A,beneficial,53,914,0.9298245614035088,0.4602215508559919,0.0106,0.1828
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30003,A,deleterious,4,867,0.07017543859649122,0.43655589123867067,0.0008,0.1734
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30003,A,neutral,0,205,0.0,0.10322255790533737,0.0,0.041
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30003,A,no_mutation,4943,3014,0,0.4602215508559919,0,0.6028
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30003,B,beneficial,53,1643,0.9298245614035088,0.4159493670886076,0.0106,0.3286
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30003,B,deleterious,4,1543,0.07017543859649122,0.3906329113924051,0.0008,0.3086
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30003,B,neutral,0,764,0.0,0.19341772151898734,0.0,0.1528
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30003,B,no_mutation,4943,1050,0,0.4159493670886076,0,0.21
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30004,A,beneficial,47,945,0.9791666666666666,0.4706175298804781,0.0094,0.189
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30004,A,deleterious,1,889,0.020833333333333332,0.44272908366533864,0.0002,0.1778
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30004,A,neutral,0,174,0.0,0.08665338645418327,0.0,0.0348
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30004,A,no_mutation,4952,2992,0,0.4706175298804781,0,0.5984
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30004,B,beneficial,47,1635,0.9791666666666666,0.40661526983337476,0.0094,0.327
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30004,B,deleterious,1,1588,0.020833333333333332,0.39492663516538173,0.0002,0.3176
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30004,B,neutral,0,798,0.0,0.19845809500124348,0.0,0.1596
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30004,B,no_mutation,4952,979,0,0.40661526983337476,0,0.1958
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30005,A,beneficial,59,903,0.9365079365079365,0.46212896622313204,0.0118,0.1806
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30005,A,deleterious,4,843,0.06349206349206349,0.4314227226202661,0.0008,0.1686
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30005,A,neutral,0,208,0.0,0.10644831115660185,0.0,0.0416
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30005,A,no_mutation,4937,3046,0,0.46212896622313204,0,0.6092
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30005,B,beneficial,60,1717,0.9375,0.42311483489403645,0.012,0.3434
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30005,B,deleterious,4,1596,0.0625,0.3932971907343519,0.0008,0.3192
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30005,B,neutral,0,745,0.0,0.18358797437161162,0.0,0.149
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30005,B,no_mutation,4936,942,0,0.42311483489403645,0,0.1884
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30006,A,beneficial,53,916,0.9636363636363636,0.4605329311211664,0.0106,0.1832
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30006,A,deleterious,2,873,0.03636363636363636,0.43891402714932126,0.0004,0.1746
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30006,A,neutral,0,200,0.0,0.10055304172951232,0.0,0.04
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30006,A,no_mutation,4945,3011,0,0.4605329311211664,0,0.6022
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30006,B,beneficial,57,1671,0.9047619047619048,0.41932245922208283,0.0114,0.3342
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30006,B,deleterious,6,1565,0.09523809523809523,0.39272271016311167,0.0012,0.313
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30006,B,neutral,0,749,0.0,0.18795483061480553,0.0,0.1498
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30006,B,no_mutation,4937,1015,0,0.41932245922208283,0,0.203
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30007,A,beneficial,51,969,0.9107142857142857,0.4660894660894661,0.0102,0.1938
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30007,A,deleterious,5,918,0.08928571428571429,0.44155844155844154,0.001,0.1836
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30007,A,neutral,0,192,0.0,0.09235209235209235,0.0,0.0384
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30007,A,no_mutation,4944,2921,0,0.4660894660894661,0,0.5842
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30007,B,beneficial,52,1658,0.8813559322033898,0.41284860557768926,0.0104,0.3316
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30007,B,deleterious,7,1615,0.11864406779661017,0.4021414342629482,0.0014,0.323
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30007,B,neutral,0,743,0.0,0.18500996015936255,0.0,0.1486
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30007,B,no_mutation,4941,984,0,0.41284860557768926,0,0.1968
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30008,A,beneficial,55,921,0.9649122807017544,0.4718237704918033,0.011,0.1842
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30008,A,deleterious,2,849,0.03508771929824561,0.4349385245901639,0.0004,0.1698
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30008,A,neutral,0,182,0.0,0.0932377049180328,0.0,0.0364
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30008,A,no_mutation,4943,3048,0,0.4718237704918033,0,0.6096
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30008,B,beneficial,59,1681,0.9076923076923077,0.4182632495645683,0.0118,0.3362
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30008,B,deleterious,6,1589,0.09230769230769231,0.39537198308036825,0.0012,0.3178
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30008,B,neutral,0,749,0.0,0.18636476735506344,0.0,0.1498
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30008,B,no_mutation,4935,981,0,0.4182632495645683,0,0.1962
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30009,A,beneficial,53,894,0.9636363636363636,0.4512872286723877,0.0106,0.1788
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30009,A,deleterious,2,854,0.03636363636363636,0.43109540636042404,0.0004,0.1708
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30009,A,neutral,0,233,0.0,0.11761736496718829,0.0,0.0466
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30009,A,no_mutation,4945,3019,0,0.4512872286723877,0,0.6038
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30009,B,beneficial,58,1680,0.8923076923076924,0.41687344913151364,0.0116,0.336
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30009,B,deleterious,7,1595,0.1076923076923077,0.3957816377171216,0.0014,0.319
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30009,B,neutral,0,755,0.0,0.18734491315136476,0.0,0.151
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30009,B,no_mutation,4935,970,0,0.41687344913151364,0,0.194
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30010,A,beneficial,45,921,1.0,0.47303543913713403,0.009,0.1842
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30010,A,deleterious,0,863,0.0,0.44324601951720594,0.0,0.1726
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30010,A,neutral,0,163,0.0,0.08371854134566,0.0,0.0326
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30010,A,no_mutation,4955,3053,0,0.47303543913713403,0,0.6106
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30010,B,beneficial,47,1597,0.9591836734693877,0.40115548857071087,0.0094,0.3194
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30010,B,deleterious,2,1625,0.04081632653061224,0.4081888972619945,0.0004,0.325
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30010,B,neutral,0,759,0.0,0.19065561416729465,0.0,0.1518
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30010,B,no_mutation,4951,1019,0,0.40115548857071087,0,0.2038
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30011,A,beneficial,53,916,0.9814814814814815,0.4687819856704197,0.0106,0.1832
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30011,A,deleterious,1,864,0.018518518518518517,0.4421699078812692,0.0002,0.1728
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30011,A,neutral,0,174,0.0,0.08904810644831115,0.0,0.0348
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30011,A,no_mutation,4946,3046,0,0.4687819856704197,0,0.6092
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30011,B,beneficial,53,1690,0.9814814814814815,0.4197714853452558,0.0106,0.338
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30011,B,deleterious,1,1600,0.018518518518518517,0.39741679085941384,0.0002,0.32
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30011,B,neutral,0,736,0.0,0.18281172379533037,0.0,0.1472
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30011,B,no_mutation,4946,974,0,0.4197714853452558,0,0.1948
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30012,A,beneficial,49,890,0.98,0.46548117154811713,0.0098,0.178
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30012,A,deleterious,1,822,0.02,0.4299163179916318,0.0002,0.1644
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30012,A,neutral,0,200,0.0,0.10460251046025104,0.0,0.04
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30012,A,no_mutation,4950,3088,0,0.46548117154811713,0,0.6176
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30012,B,beneficial,51,1682,0.9444444444444444,0.4221887550200803,0.0102,0.3364
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30012,B,deleterious,3,1604,0.05555555555555555,0.4026104417670683,0.0006,0.3208
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30012,B,neutral,0,698,0.0,0.17520080321285142,0.0,0.1396
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30012,B,no_mutation,4946,1016,0,0.4221887550200803,0,0.2032
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30013,A,beneficial,54,926,0.9642857142857143,0.47196738022426094,0.0108,0.1852
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30013,A,deleterious,2,858,0.03571428571428571,0.43730886850152906,0.0004,0.1716
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30013,A,neutral,0,178,0.0,0.09072375127421,0.0,0.0356
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30013,A,no_mutation,4944,3038,0,0.47196738022426094,0,0.6076
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30013,B,beneficial,57,1639,0.9193548387096774,0.41036554832248373,0.0114,0.3278
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30013,B,deleterious,5,1590,0.08064516129032258,0.39809714571857785,0.001,0.318
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30013,B,neutral,0,765,0.0,0.19153730595893842,0.0,0.153
